id,session_id,player_id,timestamp,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,magnetometer_x,magnetometer_y,magnetometer_z,orientation_x,orientation_y,orientation_z,battery_level,created_at
6fc891ad-0231-4cbe-b802-2d3315a047db,958d1c04-d4fb-49b9-ad9e-1725b8983246,f50b0082-d68f-467e-9784-9f3aaf467fe5,0,0,0.09,-0.21,-0.06,-0.15,-0.01,40.12,23.31,-4.5,-95.99,90.87,-110.25,3751,2025-03-30 15:53:37.010027+00
77a13292-f046-4c31-a396-6ea5f0b73ca2,958d1c04-d4fb-49b9-ad9e-1725b8983246,f50b0082-d68f-467e-9784-9f3aaf467fe5,0.1,-0.02,0.02,-0.11,-0.06,0.04,-0.01,41.31,22.12,-5.5,-95.99,90.87,-110.25,3763,2025-03-30 15:53:37.010027+00
84fb94c4-11d9-436d-b81f-ee9ed9adcc7c,958d1c04-d4fb-49b9-ad9e-1725b8983246,f50b0082-d68f-467e-9784-9f3aaf467fe5,0.2,-0.02,0.02,-0.11,-0.03,0.09,-0.01,40.5,22.94,-3.62,-95.99,90.87,-110.25,3764,2025-03-30 15:53:37.010027+00
2e6b32ee-0080-477b-8aef-8324213eb0e4,958d1c04-d4fb-49b9-ad9e-1725b8983246,f50b0082-d68f-467e-9784-9f3aaf467fe5,0.3,0.05,0.13,-0.09,-0.02,0.07,-0.01,39.81,23.31,-4.5,-95.99,90.87,-110.25,3753,2025-03-30 15:53:37.010027+00
c735ede2-66f4-4c9b-b9fd-66a1ea9f876f,958d1c04-d4fb-49b9-ad9e-1725b8983246,f50b0082-d68f-467e-9784-9f3aaf467fe5,0.4,0.05,0.13,-0.09,0,0.08,-0.01,40.81,23.25,-3.62,-106.34,92.45,-118.8,3751,2025-03-30 15:53:37.010027+00
db56adea-62e7-4a93-b223-ca3dbd7c3326,958d1c04-d4fb-49b9-ad9e-1725b8983246,f50b0082-d68f-467e-9784-9f3aaf467fe5,0.5,0.05,0.13,-0.09,0.03,0.04,0.01,39.75,23.38,-1.81,-107.13,92.59,-119.74,3764,2025-03-30 15:53:37.010027+00
14cfffc1-46af-4d03-b0e0-689aaa4c92ec,958d1c04-d4fb-49b9-ad9e-1725b8983246,f50b0082-d68f-467e-9784-9f3aaf467fe5,0.6,0.05,0.13,-0.09,0.04,0.05,0.02,39.81,22.62,-2.75,-107.59,92.64,-120.48,3751,2025-03-30 15:53:37.010027+00
dbb24bfb-fa26-4879-9856-ff7734c53f50,958d1c04-d4fb-49b9-ad9e-1725b8983246,f50b0082-d68f-467e-9784-9f3aaf467fe5,0.7,0.05,0.13,-0.09,0.05,-0.03,0.02,39.81,22.62,-2.75,-107.14,92.53,-120.39,3764,2025-03-30 15:53:37.010027+00
7cc8c161-14c0-4499-a2bc-2ad276a7a0c7,958d1c04-d4fb-49b9-ad9e-1725b8983246,f50b0082-d68f-467e-9784-9f3aaf467fe5,0.8,0.05,0.13,-0.09,0.04,0.01,0.02,39.81,22.62,-2.75,-106.38,92.38,-120.02,3763,2025-03-30 15:53:37.010027+00
4004ea0d-e006-463c-9cc2-8fb78254a907,958d1c04-d4fb-49b9-ad9e-1725b8983246,f50b0082-d68f-467e-9784-9f3aaf467fe5,0.9,0.05,0.13,-0.09,0.01,0,0,39.81,22.62,-2.75,-106.2,92.33,-120.17,3766,2025-03-30 15:53:37.010027+00
59a3fdc9-f60b-4c67-97fc-c511c147546e,958d1c04-d4fb-49b9-ad9e-1725b8983246,f50b0082-d68f-467e-9784-9f3aaf467fe5,1,0.05,0.13,-0.09,-0.01,0,0,39.81,22.62,-2.75,-106.6,92.39,-120.75,3753,2025-03-30 15:53:37.073701+00
785d5875-2a96-4fd8-b503-fcdc31b25dd2,958d1c04-d4fb-49b9-ad9e-1725b8983246,f50b0082-d68f-467e-9784-9f3aaf467fe5,1.1,0.05,0.13,-0.09,0.01,-0.09,-0.01,39.81,22.62,-2.75,-107.7,92.56,-121.89,3766,2025-03-30 15:53:37.073701+00
bd25f199-e392-4324-97c1-e50bb6ffee55,958d1c04-d4fb-49b9-ad9e-1725b8983246,f50b0082-d68f-467e-9784-9f3aaf467fe5,1.2,0.05,0.13,-0.09,0.11,-0.16,-0.01,39.81,22.62,-2.75,-107.84,92.59,-122.18,3764,2025-03-30 15:53:37.073701+00
9d994e9d-f117-427f-afb8-b213e9ce7ab9,958d1c04-d4fb-49b9-ad9e-1725b8983246,f50b0082-d68f-467e-9784-9f3aaf467fe5,1.3,0.05,0.13,-0.09,0.12,0.07,-0.07,39.81,22.62,-2.75,-102.02,91.73,-116.89,3764,2025-03-30 15:53:37.073701+00
a9c949f3-99cb-4380-8df7-f5c023b576e0,958d1c04-d4fb-49b9-ad9e-1725b8983246,f50b0082-d68f-467e-9784-9f3aaf467fe5,1.4,0.05,0.13,-0.09,0.18,-0.38,-0.21,39.81,22.62,-2.75,-100.37,91.57,-115.99,3766,2025-03-30 15:53:37.073701+00
fde62e0f-7cf4-4b6e-b219-97ed7e98b587,958d1c04-d4fb-49b9-ad9e-1725b8983246,f50b0082-d68f-467e-9784-9f3aaf467fe5,1.5,0.05,0.13,-0.09,0.24,-0.49,-0.4,39.81,22.62,-2.75,-91.24,90.21,-107.76,3767,2025-03-30 15:53:37.073701+00
f6b5daf1-6192-47f4-8b90-22bf368a10e9,958d1c04-d4fb-49b9-ad9e-1725b8983246,f50b0082-d68f-467e-9784-9f3aaf467fe5,1.6,0.05,0.13,-0.09,0.2,-0.16,-0.31,39.81,22.62,-2.75,-83.46,88.61,-101.01,3764,2025-03-30 15:53:37.073701+00
7047a8fa-674f-4f60-8b35-7cc44290052b,958d1c04-d4fb-49b9-ad9e-1725b8983246,f50b0082-d68f-467e-9784-9f3aaf467fe5,1.7,0.05,0.13,-0.09,0.26,-0.39,-0.13,39.81,22.62,-2.75,-85.34,88.86,-103.71,3764,2025-03-30 15:53:37.073701+00
a1440ad4-9019-42b2-9b5f-b39869e7c954,958d1c04-d4fb-49b9-ad9e-1725b8983246,f50b0082-d68f-467e-9784-9f3aaf467fe5,1.8,0.05,0.13,-0.09,0.35,0.39,-0.12,39.81,22.62,-2.75,-78.1,86.87,-97.63,3766,2025-03-30 15:53:37.073701+00
caeecc15-7d80-4658-9952-826d32689a1b,958d1c04-d4fb-49b9-ad9e-1725b8983246,f50b0082-d68f-467e-9784-9f3aaf467fe5,1.9,0.05,0.13,-0.09,0.4,0.85,-0.04,39.81,22.62,-2.75,-76.23,86.23,-97.95,3764,2025-03-30 15:53:37.073701+00
58ac75e8-608e-4ac1-84df-c6188ac08c63,958d1c04-d4fb-49b9-ad9e-1725b8983246,f50b0082-d68f-467e-9784-9f3aaf467fe5,2,0.05,0.13,-0.09,0.62,1.16,0.02,39.81,22.62,-2.75,-85.03,88.65,-109.67,3764,2025-03-30 15:53:37.138358+00
5779ef85-e460-4996-bc89-5abb25ee00fe,958d1c04-d4fb-49b9-ad9e-1725b8983246,f50b0082-d68f-467e-9784-9f3aaf467fe5,2.1,0.05,0.13,-0.09,0.61,0.96,0.02,39.81,22.62,-2.75,-100.66,92.93,-129.46,3764,2025-03-30 15:53:37.138358+00
638681aa-4c8a-4f22-9442-3510587860e6,958d1c04-d4fb-49b9-ad9e-1725b8983246,f50b0082-d68f-467e-9784-9f3aaf467fe5,2.2,0.05,0.13,-0.09,0.53,-0.47,0,39.81,22.62,-2.75,-105.85,94.44,-138.42,3766,2025-03-30 15:53:37.138358+00
243b14e1-88b1-40f2-af71-d9a765f44495,958d1c04-d4fb-49b9-ad9e-1725b8983246,f50b0082-d68f-467e-9784-9f3aaf467fe5,2.3,0.05,0.13,-0.09,0.32,0.17,0.39,39.81,22.62,-2.75,-95.11,91.38,-130.09,3764,2025-03-30 15:53:37.138358+00
af4003f9-0b1e-4c4d-af85-e5427b730819,958d1c04-d4fb-49b9-ad9e-1725b8983246,f50b0082-d68f-467e-9784-9f3aaf467fe5,2.4,0.05,0.13,-0.09,-0.04,-0.28,0.4,39.81,22.62,-2.75,-97.8,91.84,-134.8,3764,2025-03-30 15:53:37.138358+00
