id,session_id,player_id,timestamp,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,magnetometer_x,magnetometer_y,magnetometer_z,orientation_x,orientation_y,orientation_z,battery_level,created_at
1e03d743-20f6-4f2b-b395-08eb6c23006a,1b6710f1-177b-4e51-b7d2-76ad31c66ca1,f50b0082-d68f-467e-9784-9f3aaf467fe5,10.5,1.91,0.12,1.02,-0.46,0.73,0.38,-41.69,18.0,6.31,-43.33,-87.04,17.93,3654,2025-03-31 16:09:42.517427+00
aa1c76a1-3a5a-4309-a6d9-4a38e2ab5a27,1b6710f1-177b-4e51-b7d2-76ad31c66ca1,f50b0082-d68f-467e-9784-9f3aaf467fe5,10.6,1.41,-1.52,-0.99,-0.46,0.73,0.38,-41.81,19.38,3.19,-43.33,-87.04,17.93,3653,2025-03-31 16:09:42.517427+00
d67b44c6-4176-4ebe-a04d-341bbbd4fb8e,1b6710f1-177b-4e51-b7d2-76ad31c66ca1,f50b0082-d68f-467e-9784-9f3aaf467fe5,10.7,1.41,-1.52,-0.99,-0.51,0.13,0.91,-41.81,19.38,3.19,-71.29,-86.39,38.64,3654,2025-03-31 16:09:42.517427+00
b3e315e1-4b69-4703-bfdf-427dfc252cae,1b6710f1-177b-4e51-b7d2-76ad31c66ca1,f50b0082-d68f-467e-9784-9f3aaf467fe5,10.8,1.23,-3.75,2.29,-0.83,-6.67,1.02,-34.88,26.69,17.69,-71.29,-86.39,38.64,3656,2025-03-31 16:09:42.517427+00
fdd41c1d-82d4-4306-be0a-dfbfd97377b1,1b6710f1-177b-4e51-b7d2-76ad31c66ca1,f50b0082-d68f-467e-9784-9f3aaf467fe5,10.9,1.23,-3.75,2.29,-0.86,-8.01,1.06,-2.56,26.56,41.81,-146.83,-127.16,113.43,3654,2025-03-31 16:09:42.517427+00
85a8f1a3-254d-4ec5-8f80-7cb66f476131,1b6710f1-177b-4e51-b7d2-76ad31c66ca1,f50b0082-d68f-467e-9784-9f3aaf467fe5,11.0,4.28,4.66,-7.04,-0.11,16.19,2.99,3.31,27.62,39.62,-159.25,-174.07,117.75,3654,2025-03-31 16:09:42.573861+00
8c8c420e-6466-407c-a15a-62cc38e369b1,1b6710f1-177b-4e51-b7d2-76ad31c66ca1,f50b0082-d68f-467e-9784-9f3aaf467fe5,11.1,4.28,4.66,-7.04,-0.14,17.87,-2.37,17.31,21.56,36.56,-159.25,-174.07,117.75,3656,2025-03-31 16:09:42.573861+00
16f1dcc4-998b-4d3b-9ccd-68de0bc01e6b,1b6710f1-177b-4e51-b7d2-76ad31c66ca1,f50b0082-d68f-467e-9784-9f3aaf467fe5,11.2,4.28,4.66,-7.04,1.73,-7.2,-1.15,-32.94,4.94,-27.5,-11.04,-27.51,-68.98,3654,2025-03-31 16:09:42.573861+00
87f4125d-001d-434d-932d-da1337c4ea98,1b6710f1-177b-4e51-b7d2-76ad31c66ca1,f50b0082-d68f-467e-9784-9f3aaf467fe5,11.3,4.28,4.66,-7.04,3.31,-3.58,-0.24,-44.25,-1.56,-0.19,5.7,-55.31,-77.89,3654,2025-03-31 16:09:42.573861+00
2434eb90-051d-4af5-8b2a-5db2a54b3624,1b6710f1-177b-4e51-b7d2-76ad31c66ca1,f50b0082-d68f-467e-9784-9f3aaf467fe5,11.4,4.28,4.66,-7.04,4.89,-3.48,3.87,-44.25,-1.56,-0.19,60.44,-83.99,-116.46,3653,2025-03-31 16:09:42.573861+00
3e5f5dbd-2560-4062-a504-f687307e9c7d,1b6710f1-177b-4e51-b7d2-76ad31c66ca1,f50b0082-d68f-467e-9784-9f3aaf467fe5,11.5,4.28,4.66,-7.04,6.49,1.85,14.72,-44.25,-1.56,-0.19,-120.05,-101.36,90.73,3654,2025-03-31 16:09:42.573861+00
369e88c1-d3db-46e5-b255-34711f601875,1b6710f1-177b-4e51-b7d2-76ad31c66ca1,f50b0082-d68f-467e-9784-9f3aaf467fe5,11.6,4.28,4.66,-7.04,5.4,3.42,9.4,-44.25,-1.56,-0.19,-63.48,10.98,71.78,3653,2025-03-31 16:09:42.573861+00
898b1126-0036-49d5-b173-d130b7eae2fd,1b6710f1-177b-4e51-b7d2-76ad31c66ca1,f50b0082-d68f-467e-9784-9f3aaf467fe5,11.7,4.28,4.66,-7.04,1.77,5.04,7.9,-44.25,-1.56,-0.19,-10.19,57.4,107.8,3654,2025-03-31 16:09:42.573861+00
b721daae-b70c-49bc-bd4b-1e95710fab2a,1b6710f1-177b-4e51-b7d2-76ad31c66ca1,f50b0082-d68f-467e-9784-9f3aaf467fe5,11.8,4.28,4.66,-7.04,0.24,1.57,2.83,-44.25,-1.56,-0.19,76.55,78.47,-164.1,3653,2025-03-31 16:09:42.573861+00
5934f803-0bff-498c-8a81-3a253f365599,1b6710f1-177b-4e51-b7d2-76ad31c66ca1,f50b0082-d68f-467e-9784-9f3aaf467fe5,11.9,4.28,4.66,-7.04,-0.62,-1.68,-1.59,-44.25,-1.56,-0.19,88.34,87.51,-146.86,3656,2025-03-31 16:09:42.573861+00
6471aa1d-bbb8-48c7-9e2b-853c81ce33fc,1b6710f1-177b-4e51-b7d2-76ad31c66ca1,f50b0082-d68f-467e-9784-9f3aaf467fe5,12.0,4.28,4.66,-7.04,-0.97,-1.2,-2.14,-44.25,-1.56,-0.19,81.05,79.83,-153.21,3654,2025-03-31 16:09:42.653463+00
9fb8f015-c3a7-4a59-8f71-fbbc24f808fc,1b6710f1-177b-4e51-b7d2-76ad31c66ca1,f50b0082-d68f-467e-9784-9f3aaf467fe5,12.1,4.28,4.66,-7.04,-0.55,-0.96,-1.22,-44.25,-1.56,-0.19,67.39,72.83,-164.74,3657,2025-03-31 16:09:42.653463+00
e6937cce-38fe-445a-86bf-d52f8fe7dd79,1b6710f1-177b-4e51-b7d2-76ad31c66ca1,f50b0082-d68f-467e-9784-9f3aaf467fe5,12.2,4.28,4.66,-7.04,0.02,-0.59,-0.35,-44.25,-1.56,-0.19,54.86,68.35,-176.74,3653,2025-03-31 16:09:42.653463+00
6b918f89-d5fa-42d2-b132-9fef9a9954a1,1b6710f1-177b-4e51-b7d2-76ad31c66ca1,f50b0082-d68f-467e-9784-9f3aaf467fe5,12.3,4.28,4.66,-7.04,-0.11,0.61,-0.84,-44.25,-1.56,-0.19,47.62,64.6,174.58,3656,2025-03-31 16:09:42.653463+00
84b9e3a6-aac3-4671-aefc-082edd2462c2,1b6710f1-177b-4e51-b7d2-76ad31c66ca1,f50b0082-d68f-467e-9784-9f3aaf467fe5,12.4,4.28,4.66,-7.04,-0.23,-0.04,-0.93,-44.25,-1.56,-0.19,40.62,64.0,166.93,3656,2025-03-31 16:09:42.653463+00
